route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
88,52,А57,вул. Максимовича - вул. Польова,,3,,556b2f,556b2f
90,52,А01,Галицьке перехрестя - пл. Галицька,,3,,556b2f,556b2f
91,52,Н-А01,ЗАЛІЗНИЧНИЙ ВОКЗАЛ - ПЛ. РІЗНІ - ВУЛ. Б. ХМЕЛЬНИЦЬКОГО,,3,,556b2f,556b2f
92,52,А02,Городоцька - Університет,,3,,556b2f,556b2f
94,52,А03,ТРЦ Кінг Кросс - пл. Різні,,3,,556b2f,
95,52,Н-А03,ТРЦ КІНГ КРОСС - ЗАЛІЗНИЧНИЙ ВОКЗАЛ - ПЛ. РІЗНІ,,3,,556b2f,556b2f
97,52,Н-А04,пр. Червоної Калини - центр - Залізничний вокзал,,3,,556b2f,556b2f
98,148,А17,вул. Рудненська - вул. Щурата,,3,,28ffff,28ffff
99,52,А08-А,вул. Зернова - смт. Брюховичі вул. Івасюка,,3,,FFFFFF,FFFFFF
100,31,А07,вул. Чигиринська - вул. Скрипника,,3,,FFFFFF,FFFFFF
101,52,Н-А06,вул. Величковського - пл. Різні,,3,,556b2f,556b2f
102,52,А47,Санта Барбара - Рясне-2,,3,,556b2f,556b2f
103,52,Н-А07,ВУЛ. В. СИМОНЕНКА - ПЛ. РІЗНІ,,3,,556b2f,556b2f
104,31,А08,пл. Св. Теодора - с. Брюховичі вул. Івасюка,,3,,556b2f,556b2f
105,52,А09,Автовокзал - Муроване,,3,,556b2f,556b2f
106,52,А10,ТРЦ Кінг Кросс - Залізничний вокзал,,3,,556b2f,
108,31,А11,пр. Червоної Калини - вул. Величковського,,3,,556b2f,556b2f
110,52,А52,АС Західна - вул. Варшавська,,3,,556b2f,556b2f
111,52,А36а,"Винники, вул. Забава - вул. Галицька",,3,,FFFFFF,FFFFFF
112,52,А16,Сихівська - Залізничний вокзал,,3,,556b2f,556b2f
113,31,А14,вул. Антонича - Городоцька-Кільцева,,3,,556b2f,556b2f
114,52,А20,вул. Суботівська - вул. Польова,,3,,556b2f,556b2f
116,52,Н-А02,п. Різні - Аеропорт - АС Західна - Аеропорт - пл. Різні,,3,,556b2f,556b2f
117,89,Т04,Трамвайне депо - вул. Вернадського,,0,,556b2f,556b2f
